PLAYER_NAME,TEAM_ABBREVIATION,GP,MIN,PTS,AST,REB,FG3M,STL,BLK,PTS+REB,PTS+AST,REB+AST,PTS+REB+AST
Luka Dončić,LAL,4,34.6,32.3,8.3,5.8,4.8,0.8,0.5,38.1,40.6,14.1,46.4
Anthony Edwards,MIN,3,39.0,38.7,3.0,4.7,5.0,0.7,0.0,43.4,41.7,7.7,46.4
Jaylen Brown,BOS,4,35.5,31.8,2.8,8.0,2.8,0.3,0.5,39.8,34.6,10.8,42.6
James Harden,LAC,5,36.8,29.0,8.6,4.6,2.0,1.2,0.4,33.6,37.6,13.2,42.2
Ja Morant,MEM,1,28.4,24.0,13.0,5.0,3.0,1.0,0.0,29.0,37.0,18.0,42.0
Kawhi Leonard,LAC,2,30.4,34.0,3.5,4.0,6.0,2.0,0.0,38.0,37.5,7.5,41.5
LeBron James,LAL,5,32.8,24.6,7.8,8.0,1.8,0.8,1.2,32.6,32.4,15.8,40.4
Deni Avdija,POR,2,34.9,27.5,6.0,6.5,1.5,1.5,1.0,34.0,33.5,12.5,40.0
Jamal Murray,DEN,5,35.2,30.8,6.6,2.0,3.2,1.2,0.6,32.8,37.4,8.6,39.4
Paolo Banchero,ORL,5,38.5,21.8,6.8,10.8,1.2,1.0,0.4,32.6,28.6,17.6,39.4
Jusuf Nurkić,UTA,2,28.6,18.0,7.5,13.5,1.0,0.5,0.5,31.5,25.5,21.0,39.0
Brice Sensabaugh,UTA,3,30.6,31.7,1.7,5.3,3.0,0.7,0.0,37.0,33.4,7.0,38.7
Shai Gilgeous-Alexander,OKC,5,33.6,30.4,4.6,3.4,1.4,0.6,1.8,33.8,35.0,8.0,38.4
Giannis Antetokounmpo,MIL,5,29.3,23.8,5.6,8.8,0.4,1.4,1.0,32.6,29.4,14.4,38.2
Alperen Sengun,HOU,5,33.5,20.6,6.4,11.0,0.2,1.2,1.2,31.6,27.0,17.4,38.0
Pascal Siakam,IND,4,34.6,24.5,5.5,7.5,3.0,0.5,0.5,32.0,30.0,13.0,37.5
Joel Embiid,PHI,4,31.8,27.5,3.5,6.5,1.5,0.8,0.5,34.0,31.0,10.0,37.5
Scottie Barnes,TOR,5,37.7,22.6,7.2,6.8,0.2,1.2,0.6,29.4,29.8,14.0,36.6
Kevin Durant,HOU,5,38.4,24.4,5.8,6.2,2.0,1.4,0.6,30.6,30.2,12.0,36.4
Trey Murphy III,NOP,5,36.4,25.8,4.4,5.6,4.0,1.0,0.6,31.4,30.2,10.0,35.8
Keyonte George,UTA,5,34.6,28.8,5.0,2.0,3.0,1.4,0.2,30.8,33.8,7.0,35.8
Devin Booker,PHX,4,36.1,25.5,5.3,5.0,1.3,0.8,0.0,30.5,30.8,10.3,35.8
Victor Wembanyama,SAS,5,27.2,25.0,1.6,9.2,3.2,0.4,1.4,34.2,26.6,10.8,35.8
Donovan Mitchell,CLE,5,34.5,23.2,6.8,5.2,3.6,1.4,0.0,28.4,30.0,12.0,35.2
Bam Adebayo,MIA,5,30.6,22.0,4.2,8.8,3.4,0.8,0.4,30.8,26.2,13.0,35.0
