TEAM_NAME,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK
Atlanta Hawks,45,20,25,0.444,2170.0,1945,4107,0.474,649,1771,0.366,747,963,0.776,446,1445,1891,1394,659.0,427,211,216,905,838,5286,-69.0,1,19,22,19,3,1,2,10,5,5,10,25,24,22,24,7,19,1,23,4,13,19,22,24,3,20
Boston Celtics,42,26,16,0.619,2016.0,1800,3817,0.472,660,1793,0.368,642,806,0.797,534,1352,1886,991,507.0,329,223,179,861,781,4902,283.0,21,7,6,6,25,17,20,14,2,4,8,29,30,9,7,21,20,30,1,22,10,4,13,29,18,3
Brooklyn Nets,41,12,29,0.293,1973.0,1567,3498,0.448,585,1673,0.35,748,954,0.784,448,1191,1639,1052,622.0,316,180,198,819,817,4467,-220.0,27,26,25,26,30,30,30,29,16,11,21,24,25,15,22,30,30,25,11,27,26,10,4,26,30,25
Charlotte Hornets,43,16,27,0.372,2079.0,1773,3839,0.462,657,1768,0.372,803,987,0.814,524,1432,1956,1148,667.0,286,200,185,833,896,5006,0.0,17,24,24,24,17,20,18,23,3,6,5,17,21,6,11,9,9,11,25,30,19,7,7,13,17,16
Chicago Bulls,43,21,22,0.488,2074.0,1862,3907,0.477,618,1694,0.365,728,929,0.784,448,1501,1949,1286,610.0,326,221,236,808,807,5070,-91.0,17,18,17,18,19,10,16,8,9,9,12,27,27,16,22,5,11,5,8,24,11,25,2,27,13,22
Cleveland Cavaliers,44,24,20,0.545,2122.0,1906,4051,0.471,656,1838,0.357,796,1019,0.781,532,1429,1961,1259,634.0,386,225,199,905,891,5264,80.0,5,13,14,15,11,6,5,15,4,2,15,18,17,18,8,10,8,7,15,8,8,12,22,14,5,11
Dallas Mavericks,44,18,26,0.409,2137.0,1859,3927,0.473,491,1428,0.344,815,1090,0.748,436,1531,1967,1122,667.0,340,249,211,839,927,5024,-106.0,5,21,23,23,6,11,13,11,25,25,25,15,10,28,25,2,6,15,25,20,5,17,9,9,16,23
Denver Nuggets,44,29,15,0.659,2132.0,1914,3836,0.499,617,1550,0.398,896,1100,0.815,415,1440,1855,1245,557.0,301,176,201,845,933,5341,194.0,5,4,4,4,8,5,19,1,10,19,1,4,9,5,27,8,23,8,3,29,27,15,10,7,2,7
Detroit Pistons,41,31,10,0.756,1978.0,1762,3679,0.479,459,1304,0.352,828,1111,0.745,550,1348,1898,1095,650.0,428,275,232,931,917,4811,298.0,27,2,2,2,28,21,26,7,30,29,19,13,8,29,6,23,17,22,21,3,1,22,25,12,25,2
Golden State Warriors,45,25,20,0.556,2170.0,1854,4000,0.464,736,2003,0.367,816,1000,0.816,508,1428,1936,1294,698.0,425,198,179,898,871,5260,132.0,1,11,14,12,3,12,6,22,1,1,9,14,20,3,14,11,13,4,29,5,21,4,17,17,6,8
Houston Rockets,41,26,15,0.634,1998.0,1779,3714,0.479,465,1258,0.37,772,1017,0.759,661,1349,2010,1016,637.0,349,229,194,782,855,4795,263.0,27,7,4,5,27,19,25,6,28,30,7,21,18,26,1,22,2,28,19,15,7,8,1,21,26,4
Indiana Pacers,44,10,34,0.227,2122.0,1740,3930,0.443,549,1606,0.342,814,1060,0.768,477,1407,1884,1101,634.0,325,224,199,986,923,4843,-361.0,5,28,29,29,11,25,11,30,19,15,28,16,14,23,20,15,21,20,15,25,9,12,30,10,23,28
LA Clippers,43,19,24,0.442,2078.998333,1690,3566,0.474,562,1546,0.364,889,1052,0.845,409,1323,1732,1010,648.0,375,208,205,818,856,4831,-61.0,17,20,20,20,18,29,28,9,18,20,13,7,15,1,28,28,28,29,20,13,15,16,3,20,24,19
Los Angeles Lakers,42,26,16,0.619,2016.0,1746,3517,0.496,499,1432,0.348,893,1149,0.777,422,1315,1737,1047,635.0,334,166,158,823,922,4884,-8.0,21,7,6,6,25,22,29,2,24,24,24,6,5,21,26,29,27,26,17,21,29,1,6,11,20,17
Memphis Grizzlies,41,18,23,0.439,1978.0,1700,3734,0.455,547,1565,0.35,772,970,0.796,481,1416,1897,1190,628.0,320,207,212,820,848,4719,-39.0,27,21,19,21,28,28,24,26,20,17,22,21,22,11,19,14,18,9,13,26,16,18,5,22,29,18
Miami Heat,44,23,21,0.523,2117.0,1916,4117,0.465,590,1594,0.37,838,1066,0.786,501,1508,2009,1260,629.0,395,188,232,837,891,5260,57.0,5,14,16,16,14,3,1,20,13,16,6,12,12,14,16,4,3,6,14,7,23,22,8,14,6,13
Milwaukee Bucks,42,18,24,0.429,2026.0,1731,3583,0.483,617,1565,0.394,642,874,0.735,359,1339,1698,1100,621.0,328,173,168,871,791,4721,-135.0,21,21,20,22,23,27,27,5,10,17,2,29,29,30,30,25,29,21,9,23,28,2,14,28,28,24
Minnesota Timberwolves,44,27,17,0.614,2127.0,1899,3922,0.484,621,1669,0.372,865,1153,0.75,500,1467,1967,1179,621.0,378,239,172,943,939,5284,224.0,5,5,8,8,9,8,14,4,8,12,4,11,4,27,17,6,6,10,9,9,6,3,26,3,4,5
New Orleans Pelicans,45,10,35,0.222,2180.0,1901,4085,0.465,487,1418,0.343,882,1127,0.783,554,1396,1950,1117,657.0,397,199,267,898,930,5171,-329.0,1,28,30,30,1,7,3,21,26,26,26,8,7,17,5,16,10,16,22,6,20,29,17,8,10,26
New York Knicks,43,25,18,0.581,2064.0,1829,3913,0.467,641,1710,0.375,770,967,0.796,587,1389,1976,1144,591.0,345,182,199,888,846,5069,129.0,17,11,10,10,20,14,15,16,7,8,3,23,23,10,3,17,5,12,4,16,24,12,16,23,14,9
Oklahoma City Thunder,44,36,8,0.818,2137.0,1937,3941,0.491,590,1630,0.362,878,1064,0.825,398,1530,1928,1133,543.0,446,259,179,899,937,5342,592.0,5,1,1,1,6,2,10,3,13,14,14,10,13,2,29,3,15,14,2,2,2,4,19,4,1,1
Orlando Magic,42,23,19,0.548,2031.0,1745,3743,0.466,464,1367,0.339,922,1166,0.791,502,1378,1880,1108,595.0,345,218,234,887,941,4876,39.0,21,14,11,13,22,23,23,19,29,27,29,3,2,13,15,19,22,19,6,16,12,24,15,2,21,15
